dimension,segment,sessions,view_rate,cart_rate,purchase_rate
traffic_source,Email,307031,1.0,0.6344082519354723,0.26715543381612933
traffic_source,Adwords,203914,1.0,0.6318987416263719,0.26568553409770784
traffic_source,Organic,34254,1.0,0.628131021194605,0.26215916389326793
traffic_source,YouTube,67998,1.0,0.6306361951822113,0.2630812670960911
traffic_source,Facebook,67755,1.0,0.6299313703785698,0.2639067227510885
browser,Chrome,340431,1.0,0.6330945184192979,0.26533130061598387
browser,Firefox,135665,1.0,0.6323591198909078,0.26495411491541665
browser,IE,34415,1.0,0.6337352898445445,0.2659014964405056
browser,Other,34139,1.0,0.6281086147807493,0.26746536219572925
browser,Safari,136302,1.0,0.6320376810318263,0.2670393684612111
